,Column Name,Format,Units,nulls,Description
0,ra,%10.6f,deg,no,J2000 right ascension with respect to the ICRS
1,dec/decl,%10.6f,deg,no,J2000 declination with respect to the ICRS
2,err_maj,%4.2f,arcsec,no,Semi-major axis length of the one sigma position uncertainty ellipse
3,err_min,%4.2f,arcsec,no,Semi-minor axis length of the one sigma position uncertainty ellipse
4,err_ang,%3d,deg,no,Position angle on the sky of the semi-major axis of the position uncertainty ellipse (East of North)
5,designation,%17s,---,no,"Sexagesimal, equatorial position-based source name in the form: hhmmssss+ddmmsss[ABC...]. The full naming convention for 2MASS All-Sky Release PSC sources has the form ""2MASS Jhhmmssss+ddmmsss[ABC...]"", where ""2MASS"" indicates that the source is from the All-Sky PSC, ""J"" indicates the position is J2000, and the optional trailing letters are used to distinguish sources with otherwise duplicate names. The ""2MASS J"" prefix is not listed explicitly in the designation column."
6,j_m,%6.3f,mag,yes,"Default J-band magnitude, or if the source is not detected in the J-band, the 95% confidence upper limit derived from a 4"" radius aperture measurement taken at the position of the source on the Atlas Image. The origin of the default magnitude is given by the first character of the rd_flg value (rd_flg[1]). This column is null if the source is nominally detected in the J-band, but no useful brightness estimate could be made (rd_flg[1]=""9"")."
7,j_cmsig,%5.3f,mag,yes,"Corrected photometric uncertainty for the default J-band magnitude. If rd_flg[1]=""2"", this is the measurement error from the profile-fitting procedure, corrected to be consistent with observed repeatability statistics. If rd_flg[1]=""1"" or ""4"", this is the RMS of the brightness measured in aperture photometry on the individual frames. If rd_flg=""3"", the uncertainty is derived from the residuals to the 1-d radial profile fit to the unsaturated wings of the bright star. If j_cmsig > 8.0, it is a flag value indicating that a meaningful uncertainty could not be determined for the source. This column is null if the default magnitude is a 95% confidence upper limit (rd_flg[1]=""0"" or ""6"") or if the source is not measurable (rd_flg[1]=""9"")."
8,j_msigcom,%5.3f,mag,yes,"Combined, or total photometric uncertainty for the default J-band magnitude. The combined uncertainty is derived from the following relation:
 j_msigcom = sqrt(j_cmsig2 + j_zperr2 + fferr2 + [r1normrms2]) where
j_cmsig = Corrected J-band photometric uncertainty j_zperr = Nightly photometric zero point uncertainty = 0.011 mag fferr = Flat-fielding residual error = 0.005 mags r1normrms = R1 normalization uncertainty = 0.012 mags (applied only for sources with rd_flg[1]=""1"") 
This column is null if the default magnitude is a 95% confidence upper limit (i.e. the source is not detected, or inconsistently deblended in the J-band)."
9,j_snr,%10.1f,mag,yes,"J-band ""scan"" signal-to-noise ratio. This value is given by the ratio of the J-band flux to the characteristic J-band scan noise. The scan noise is the mode of the distribution of flux uncertainties for all point source measurements in a specific 2MASS scan, and is tabulated in the Scan Information Table (NOT YET AVAILABLE). j_snr values are capped at 10000000.0. This column is null if the default magnitude is a 95% confidence upper limit (i.e. the source is not detected, or inconsistently deblended in the J-band)."
10,h_m,%6.3f,mag,yes,"Default H-band magnitude, or if the source is not detected in the H-band, the 95% confidence upper limit derived from a 4"" radius aperture measurement taken at the position of the source on the Atlas Image. The origin of the default magnitude is given by the second character of the rd_flg value (rd_flg[2]). This column is null if the source is nominally detected in the H-band, but no useful brightness estimate could be made (rd_flg[2]=""9"")."
11,h_cmsig,%5.3f,mag,yes,"Corrected photometric uncertainty for the default H-band magnitude. If rd_flg[2]=""2"", this is the measurement error from the profile-fitting procedure, corrected to be consistent with observed repeatability statistics. If rd_flg[2]=""1"" or ""4"", this is the RMS of the brightness measured in aperture photometry on the individual frames. If rd_flg=""3"", the uncertainty is derived from the residuals to the 1-d radial profile fit to the unsaturated wings of the bright star. If h_cmsig > 8.0, it is a flag value indicating that a meaningful uncertainty could not be determined for the source. This column is null if the default magnitude is a 95% confidence upper limit (rd_flg[2]=""0"" or ""6"") or if the source is not measurable (rd_flg[2]=""9"")."
12,h_msigcom,%5.3f,mag,yes,"Combined, or total photometric uncertainty for the default H-band magnitude. The combined uncertainty is derived from the following relation:
 h_msigcom = sqrt(h_cmsig2 + h_zperr2 + fferr2 + [r1normrms2]) where
h_cmsig = Corrected H-band photometric uncertainty h_zperr = Nightly photometric zero point uncertainty = 0.007 mag fferr = Flat-fielding residual error = 0.005 mags r1normrms = R1 normalization uncertainty = 0.012 mags (applied only for sources with rd_flg[2]=""1"") 
This column is null if the default magnitude is a 95% confidence upper limit (i.e. the source is not detected, or inconsistently deblended in the H-band)."
13,h_snr,%10.1f,mag,yes,"H-band ""scan"" signal-to-noise ratio. This value is given by the ratio of the H-band flux to the characteristic H-band scan noise. The scan noise is the mode of the distribution of flux uncertainties for all point source measurements in a specific 2MASS scan, and is tabulated in the Scan Information Table (NOT YET AVAILABLE). h_snr values are capped at 10000000.0. This column is null if the default magnitude is a 95% confidence upper limit (i.e. the source is not detected, or inconsistently deblended in the H-band)."
14,k_m,%6.3f,mag,yes,"Default Ks-band magnitude, or if the source is not detected in the Ks-band, the 95% confidence upper limit derived from a 4"" radius aperture measurement taken at the position of the source on the Atlas Image. The origin of the default magnitude is given by the third character of the rd_flg value (rd_flg[3]). This column is null if the source is nominally detected in the Ks-band, but no useful brightness estimate could be made (rd_flg[3]=""9"")."
